tubersize,eveness,appearance,tubnumbers,eyedepth,yield,uniformity,ffscab,ffdefects,ffhollowh,ff_irs,env_type,trial_type,soil_type
7.0,5.5,6.5,6.0,7.0,49.42,6.5,8.0,7.0,9.0,4.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,6.5,6.0,7.0,41.67,6.0,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,8.0,27.31,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,7.0,7.5,6.5,8.0,44.44,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,6.5,7.0,57.41,6.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,5.0,49.54,5.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.5,6.5,7.0,8.0,49.77,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,8.0,37.5,6.5,7.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,5.5,6.0,6.0,52.31,5.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,6.0,35.42,6.0,7.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,6.5,6.5,6.0,64.58,6.0,6.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.5,6.5,5.5,7.0,36.81,5.5,8.0,5.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.0,6.0,6.0,62.73,6.0,8.0,8.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,6.0,6.5,6.0,44.91,9.0,8.0,8.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.0,6.0,6.0,52.78,6.5,8.0,7.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,7.0,7.0,57.87,5.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,6.0,61.34,6.0,6.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.0,5.5,6.0,6.5,7.0,18.52,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.0,6.0,6.0,27.43,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,7.0,6.5,7.0,42.59,6.0,7.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.5,6.0,5.5,6.0,32.41,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.0,6.0,5.0,7.0,22.92,5.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,7.0,39.12,6.5,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,7.5,39.12,,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.5,6.0,54.86,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,7.5,7.0,8.0,43.98,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,5.5,7.0,7.0,6.0,48.38,5.0,8.0,6.5,9.0,1.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.5,6.0,8.0,28.7,7.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,7.0,7.0,6.5,7.0,78.01,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.0,6.0,6.0,48.26,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.0,6.0,8.0,35.42,6.5,6.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,8.0,39.35,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,6.0,5.0,7.0,8.0,28.7,5.0,8.0,5.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,6.0,8.0,31.71,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.0,6.5,8.0,46.3,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.0,5.5,6.5,8.0,8.0,40.97,6.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,6.0,7.5,7.0,8.0,60.65,6.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,7.0,7.0,7.0,8.0,57.41,7.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,8.0,45.14,7.0,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.5,7.5,7.0,8.0,60.65,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,8.0,43.29,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,7.0,44.91,5.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.5,6.0,6.0,27.78,6.0,8.0,8.0,9.0,5.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,8.0,29.17,6.0,8.0,7.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,7.0,7.0,7.0,8.0,53.7,7.0,8.0,7.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.5,8.0,42.59,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,7.0,7.5,6.0,8.0,46.3,7.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,7.0,7.0,7.0,8.0,60.88,7.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,5.5,8.0,37.5,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.5,7.0,8.0,62.96,7.0,8.0,7.0,9.0,5.0,MED,UNKNOWN,UNKNOWN
7.0,7.0,7.0,8.0,7.0,39.0,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,8.0,26.62,7.0,7.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.0,6.0,7.0,21.76,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,7.0,38.19,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,8.0,35.19,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,6.5,7.0,7.0,46.76,7.0,7.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,8.0,7.0,8.0,38.43,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,7.0,7.5,7.0,8.0,48.38,6.5,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,7.0,7.0,58.56,7.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,7.5,8.0,7.0,8.0,35.65,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,7.0,7.0,6.0,8.0,40.28,7.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,6.5,7.0,6.0,51.74,8.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,6.0,52.08,6.0,6.5,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,5.0,6.0,3.0,4.0,16.2,5.0,8.0,5.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
8.0,6.0,7.0,5.0,6.5,32.64,6.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,6.0,33.33,6.0,6.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.0,6.0,7.0,8.0,49.54,6.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,7.5,7.0,8.0,53.24,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,7.0,8.0,59.72,7.0,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.5,7.5,8.0,43.52,6.0,8.0,7.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,7.0,6.5,7.0,7.0,43.98,7.0,7.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,7.0,53.24,6.0,8.0,6.0,9.0,6.0,MED,UNKNOWN,UNKNOWN
7.0,7.5,7.0,7.5,8.0,47.92,7.0,8.0,7.0,9.0,6.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,8.0,32.41,6.5,8.0,8.0,9.0,6.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,6.5,41.67,6.0,8.0,6.0,9.0,6.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,6.0,8.0,52.08,6.0,8.0,5.0,9.0,6.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.0,5.5,6.0,37.73,6.0,7.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,7.0,6.5,7.0,40.51,7.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.0,7.0,8.0,54.17,7.0,8.0,7.5,9.0,7.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,7.0,44.68,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,6.0,37.73,6.0,6.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.5,8.0,53.47,6.5,8.0,7.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,6.5,7.0,6.5,51.85,7.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,8.0,6.5,8.0,50.58,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.0,6.0,4.0,6.0,29.75,6.0,6.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,7.0,6.5,5.5,8.0,49.31,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,6.0,7.0,6.0,6.0,27.78,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,6.0,7.0,31.25,6.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.5,7.0,8.0,57.87,6.5,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.0,5.5,7.0,6.0,7.0,104.17,6.0,8.0,5.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.5,6.5,6.0,7.0,43.75,6.0,6.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.0,7.0,6.5,7.0,36.81,6.0,7.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.0,6.0,7.0,8.0,51.85,5.0,8.0,4.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,6.0,7.5,5.0,8.0,30.79,7.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,5.0,6.0,38.19,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,7.0,7.5,7.0,8.0,60.65,6.0,8.0,7.0,9.0,5.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,8.0,8.0,8.0,46.3,8.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,7.5,7.5,40.28,7.0,6.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,7.0,8.0,58.1,6.0,5.0,8.0,9.0,6.0,MED,UNKNOWN,UNKNOWN
5.0,7.0,7.5,7.0,8.0,47.22,7.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,5.0,7.0,6.0,8.0,35.19,5.0,8.0,5.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.5,6.0,8.0,37.27,6.5,8.0,7.0,9.0,8.0,MED,UNKNOWN,UNKNOWN
7.0,6.5,7.5,7.0,8.0,47.92,7.0,8.0,8.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
5.0,6.0,7.0,6.0,8.0,34.72,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.0,6.0,8.0,40.97,6.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.5,7.0,8.0,27.31,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.5,7.0,7.0,8.0,56.94,7.0,8.0,7.0,9.0,4.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.5,7.0,8.0,59.26,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,6.5,5.5,6.0,30.09,6.5,8.0,7.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
7.5,6.0,7.5,6.0,8.0,46.88,6.5,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.5,7.0,7.0,43.52,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,6.0,6.0,6.5,7.0,40.74,6.0,8.0,8.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
6.0,5.0,6.0,5.0,6.0,21.99,5.5,6.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,7.0,6.0,6.0,7.0,50.46,6.5,6.5,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,6.0,6.0,7.0,53.24,6.0,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.5,6.5,6.5,7.0,51.16,7.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,6.5,6.0,6.0,53.94,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,5.5,7.0,23.15,5.5,8.0,8.0,7.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,7.0,7.5,7.5,8.0,50.0,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.0,6.0,49.54,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,6.0,6.0,6.0,39.81,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.0,5.5,7.0,30.09,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,7.0,8.0,70.83,6.0,7.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.5,7.0,45.6,7.0,8.0,7.0,9.0,8.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.0,6.0,8.0,48.38,7.0,8.0,8.0,9.0,8.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,8.0,8.0,55.09,6.0,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,7.0,6.5,7.0,42.36,7.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,7.0,8.0,38.89,7.0,8.0,7.8,9.0,7.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,7.0,7.0,61.57,6.0,8.0,7.5,7.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,7.0,7.5,7.0,8.0,43.98,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.0,7.0,5.0,8.0,23.15,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,5.0,6.0,6.0,7.0,32.87,5.5,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,7.5,31.25,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,6.0,6.0,41.44,6.0,8.0,7.0,9.0,8.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,7.0,8.0,39.12,5.5,8.0,6.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.5,7.0,8.0,42.82,7.0,8.0,8.0,9.0,8.0,MED,UNKNOWN,UNKNOWN
6.5,7.0,7.0,6.5,8.0,53.24,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,7.0,7.0,7.5,6.5,33.1,6.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.5,5.5,5.5,6.0,32.64,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.5,6.0,8.0,30.09,6.0,7.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
5.5,7.0,8.0,7.0,8.0,30.56,7.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,7.0,6.5,6.0,8.0,38.43,7.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.5,6.0,8.0,42.82,6.5,8.0,7.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.5,6.0,7.0,5.5,8.0,34.03,6.0,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.5,7.0,6.5,67.13,6.0,8.0,6.5,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,7.5,6.0,7.0,40.51,6.0,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.5,7.0,7.0,7.5,8.0,45.83,6.5,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.0,7.0,8.0,58.8,6.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
7.0,6.0,6.5,7.0,8.0,57.87,6.0,7.0,8.0,9.0,8.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,6.5,6.5,7.5,38.66,5.5,8.0,7.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.0,7.0,6.0,8.0,34.72,5.5,8.0,8.0,9.0,9.0,MED,UNKNOWN,UNKNOWN
6.0,6.5,6.5,6.5,7.0,33.1,7.0,8.0,7.5,9.0,6.0,MED,UNKNOWN,UNKNOWN
7.0,7.5,7.5,7.0,8.0,59.49,7.0,8.0,6.0,9.0,7.0,MED,UNKNOWN,UNKNOWN
